"[Container Name]","SIC_Entity_Creation"
"[Test Name]","Add_Producer_NegScenario"
"[Test Description]",""
"[Test Manual Name]",""
"[Test Run]","Y"

"[Browsers]","[Browser Name]","[Browser Selection]"
,"MicroSoft Edge","N"
,"Chrome","Y"
,"Internet Explorer","N"
,"Firefox","N"
,"Safari","N"
,"MOBILE","N"

"[Test Steps]","[Step]","[Page]","[Object]","[Action]","[Command]","[Screenshot]","[OnPass]","[OnFail]"
,"1","Reusable Objects","SIC_V3_Login","NA","NA","Y","2","32"
,"2","SIC_NonMandatoryFields","World","Click","Execute","Y","3","32"
,"3","Generic","Browser","Sleep","3","Y","4","32"
,"4","SIC_NonMandatoryFields","Add_Circle","Click","Execute","Y","5","32"
,"5","Generic","Browser","Sleep","2","Y","6","32"
,"6","SIC_NonMandatoryFields","Producer","Click","Execute","Y","7","32"
,"7","Generic","Browser","Sleep","3","Y","8","32"
,"8","V3locity","iframeTapestry","focusiFrame","Execute","Y","9","32"
,"9","SIC_NonMandatoryFields","Producer_LegalName","setText","{ds=y;Producer_LegalName}","Y","10","32"
,"10","SIC_NonMandatoryFields","ProducerId","setText","{ds=y;Producer_Id}","Y","11","32"
,"11","V3locity","iframeTapestry","defocusiFrame","Execute","Y","12","32"
,"12","SIC_NonMandatoryFields","ApplyButton","Click","Execute","Y","14","32"
,"13","V3locity","iframeTapestry","focusiFrame","Execute","Y","14","32"
,"14","AddPrd_Negative","ProducerId_neg","verifyElementText","{ds=y;ProducerId_ErrorMsg}","Y","15","32"
,"15","AddDep_Negative","errormessage_okbutton","Click","Execute","Y","16","32"
,"16","Generic","Browser","Sleep","3","Y","17","32"
,"17","V3locity","iframeTapestry","focusiFrame","Execute","Y","18","32"
,"18","SIC_NonMandatoryFields","ProducerId","setText","{ds=y;ProducerId_neg2}","Y","19","32"
,"19","V3locity","iframeTapestry","defocusiFrame","Execute","Y","20","32"
,"20","SIC_NonMandatoryFields","ApplyButton","Click","Execute","Y","22","32"
,"21","V3locity","iframeTapestry","focusiFrame","Execute","Y","22","32"
,"22","AddPrd_Negative","ProducerId_neg","verifyElementText","{ds=y;ProducerId_ErrorMsg}","Y","23","32"
,"23","AddDep_Negative","errormessage_okbutton","Click","Execute","Y","24","32"
,"24","Generic","Browser","Sleep","3","Y","25","32"
,"25","V3locity","iframeTapestry","focusiFrame","Execute","Y","26","32"
,"26","SIC_NonMandatoryFields","ProducerId","setText","{ds=y;ProducerID}","Y","27","32"
,"27","Generic","Browser","Sleep","3","Y","28","32"
,"28","V3locity","iframeTapestry","defocusiFrame","Execute","Y","29","32"
,"29","SIC_NonMandatoryFields","ApplyButton","Click","Execute","Y","30","32"
,"30","SIC_NonMandatoryFields","SaveButton","Click","Execute","Y","31","32"
,"31","Generic","Browser","Sleep","3","Y","32","32"

"[Data Sheet]","[DS_OS]","[DS_BROWSER]","[DS_ID]","[DS_FLAG]","[DS_DESC]","[DS_TAGS]","[DS_TMID]","Global_Homepage","Global_Password","Global_Username","ProducerID","ProducerId_ErrorMsg","ProducerId_neg2","Producer_Id","Producer_LegalName","V3_Homepage","V3_Password","V3_Username"
,"ANY","Chrome","001","Y",,,,"https://partners.v3locitydev.com/global-protect/login.esp","Qwerty@1234","SSAHOO","7565432","Invalid Producer ID","324324@fgdhfgdh","2875465746527","Broker_10","V3locity","sic@123","ssahoo"
